epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,192.484,2.06936,0.1087,0.63043,2.0918,0.0002499,0.0002499,0.0002499
2,403.658,1.94102,0.13043,0.73913,nan,0.000482978,0.000482978,0.000482978
3,617.601,1.83761,0.26087,0.78261,2.93066,0.00069049,0.00069049,0.00069049
4,840.233,1.78712,0.30435,0.91304,2.05615,0.000709299,0.000709299,0.000709299
5,1054.13,1.77552,0.19565,0.8913,2.24609,0.000668066,0.000668066,0.000668066
6,1251.45,1.73473,0.28261,0.8913,2.52344,0.000626832,0.000626832,0.000626832
7,1462.33,1.72401,0.32609,0.93478,1.79297,0.000585599,0.000585599,0.000585599
8,1682.09,1.63453,0.26087,0.91304,1.70801,0.000544365,0.000544365,0.000544365
9,1864.43,1.66472,0.36957,0.91304,1.81348,0.000503132,0.000503132,0.000503132
10,2040.73,1.58312,0.26087,0.91304,2.94238,0.000461898,0.000461898,0.000461898
11,2261.24,1.49804,0.32609,0.91304,2.30176,0.000420665,0.000420665,0.000420665
12,2475.51,1.55104,0.32609,0.93478,1.8125,0.000379431,0.000379431,0.000379431
13,2668.72,1.53397,0.32609,0.71739,1.97607,0.000338198,0.000338198,0.000338198
14,2846.5,1.5231,0.43478,0.95652,1.30371,0.000296964,0.000296964,0.000296964
15,3058.65,1.47158,0.32609,0.91304,4.79199,0.000255731,0.000255731,0.000255731
16,3281.91,1.39238,0.43478,0.93478,1.43066,0.000214497,0.000214497,0.000214497
17,3486.55,1.41198,0.43478,0.8913,1.58984,0.000173264,0.000173264,0.000173264
18,3708.94,1.36127,0.47826,0.91304,1.32422,0.000132031,0.000132031,0.000132031
19,3913.32,1.40706,0.43478,0.91304,1.36035,9.0797e-05,9.0797e-05,9.0797e-05
20,4148.37,1.32361,0.43478,0.93478,1.34424,4.95635e-05,4.95635e-05,4.95635e-05
