                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.29877,                    0.9,                      1,                 1.5259,             0.00018564,             0.00018564,             0.00018564
                      2,                0.20309,                  0.825,                      1,                 1.4512,             0.00035969,             0.00035969,             0.00035969
                      3,                0.23926,                  0.825,                      1,                 1.5488,             0.00051465,             0.00051465,             0.00051465
                      4,                0.21448,                  0.875,                      1,                 1.4277,             0.00060797,             0.00060797,             0.00060797
                      5,                0.20782,                    0.9,                      1,                 1.4048,             0.00057263,             0.00057263,             0.00057263
                      6,                0.15847,                  0.875,                      1,                 1.4014,             0.00053728,             0.00053728,             0.00053728
                      7,                0.18495,                  0.925,                      1,                 1.3491,             0.00050194,             0.00050194,             0.00050194
                      8,                0.19606,                   0.85,                      1,                 1.4111,              0.0004666,              0.0004666,              0.0004666
                      9,                0.10905,                   0.95,                      1,                 1.3613,             0.00043126,             0.00043126,             0.00043126
                     10,                 0.0973,                    0.9,                      1,                 1.4209,             0.00039591,             0.00039591,             0.00039591
                     11,                0.08221,                    0.9,                      1,                 1.3525,             0.00036057,             0.00036057,             0.00036057
                     12,                 0.0737,                  0.875,                      1,                 1.3769,             0.00032523,             0.00032523,             0.00032523
                     13,                0.12056,                   0.95,                      1,                 1.3335,             0.00028988,             0.00028988,             0.00028988
                     14,                0.02091,                   0.95,                      1,                 1.3262,             0.00025454,             0.00025454,             0.00025454
                     15,                0.02898,                  0.925,                      1,                  1.332,              0.0002192,              0.0002192,              0.0002192
                     16,                0.03089,                  0.925,                      1,                 1.4248,             0.00018385,             0.00018385,             0.00018385
                     17,                0.01297,                  0.925,                      1,                  1.376,             0.00014851,             0.00014851,             0.00014851
                     18,                0.02792,                  0.925,                      1,                 1.3804,             0.00011317,             0.00011317,             0.00011317
                     19,                0.02796,                  0.925,                      1,                 1.3242,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.02196,                  0.925,                      1,                 1.3237,             4.2483e-05,             4.2483e-05,             4.2483e-05
